Function    Best Rate MB/s  Avg time     Min time     Max time
Copy:           73941.0     0.002402     0.002164     0.002665
Copy:           74940.1     0.002269     0.002135     0.002426
Copy:           73770.3     0.002289     0.002169     0.002644
Copy:           79673.4     0.002302     0.002008     0.002556
Copy:           78315.9     0.002204     0.002043     0.002362
Copy:           76669.6     0.002190     0.002087     0.002383
Copy:           75124.7     0.002343     0.002130     0.002598
Copy:           80283.4     0.002269     0.001993     0.002682
Copy:           82860.7     0.002317     0.001931     0.002708
Copy:           78352.4     0.002261     0.002042     0.002468
