Function    Best Rate MB/s  Avg time     Min time     Max time
Copy:           36288.8     0.004483     0.004409     0.004605
Copy:           36265.3     0.004459     0.004412     0.004629
Copy:           35595.9     0.004535     0.004495     0.004599
Copy:           36255.5     0.004470     0.004413     0.004631
Copy:           35713.3     0.004525     0.004480     0.004629
Copy:           36020.0     0.004464     0.004442     0.004484
Copy:           36304.5     0.004440     0.004407     0.004510
Copy:           35939.0     0.004504     0.004452     0.004545
Copy:           35954.4     0.004486     0.004450     0.004520
Copy:           36078.1     0.004469     0.004435     0.004496
