Function    Best Rate MB/s  Avg time     Min time     Max time
Copy:           41120.6     0.003944     0.003891     0.003994
Copy:           41100.5     0.003926     0.003893     0.003981
Copy:           41015.1     0.003961     0.003901     0.004007
Copy:           41257.1     0.003917     0.003878     0.003993
Copy:           41163.5     0.003905     0.003887     0.003921
Copy:           41183.7     0.003898     0.003885     0.003922
Copy:           41397.1     0.003904     0.003865     0.003951
Copy:           41545.8     0.003875     0.003851     0.003898
Copy:           41161.0     0.003921     0.003887     0.003990
Copy:           41698.1     0.003911     0.003837     0.004017
