Function    Best Rate MB/s  Avg time     Min time     Max time
Copy:           23255.7     0.006925     0.006880     0.007005
Copy:           23567.6     0.006824     0.006789     0.006866
Copy:           23405.7     0.006883     0.006836     0.007047
Copy:           23235.5     0.006912     0.006886     0.006961
Copy:           23296.0     0.006923     0.006868     0.006952
Copy:           23368.2     0.006894     0.006847     0.006908
Copy:           23547.0     0.006857     0.006795     0.006990
Copy:           23347.9     0.006897     0.006853     0.006950
Copy:           23351.1     0.006891     0.006852     0.006960
Copy:           23168.2     0.007021     0.006906     0.007205
