Function    Best Rate MB/s  Avg time     Min time     Max time
Copy:           41558.6     0.003870     0.003850     0.003888
Copy:           41450.8     0.003879     0.003860     0.003902
Copy:           41602.4     0.003864     0.003846     0.003895
Copy:           41633.4     0.003858     0.003843     0.003887
Copy:           41744.8     0.003856     0.003833     0.003893
Copy:           41612.7     0.003861     0.003845     0.003888
Copy:           41633.4     0.003858     0.003843     0.003888
Copy:           41484.1     0.003888     0.003857     0.003983
Copy:           41677.3     0.003857     0.003839     0.003869
Copy:           41548.3     0.003859     0.003851     0.003870
