run: 0		= 6.7191s
run: 1		= 5.68056s
run: 2		= 5.747s
run: 3		= 5.81276s
run: 4		= 5.8258s
run: 5		= 5.81901s
run: 6		= 5.84544s
run: 7		= 5.88862s
run: 8		= 5.82246s
run: 9		= 5.84564s
avg. duration	= 5.90064 ± 0.2933
avg. read	= 3.76691 ± 0.259368
avg. map	= 1.64902 ± 0.00243241
avg. reduce	= 0.382828 ± 0.0465834
avg. write	= 0.0691869 ± 0.0455863
